LastName	Pinyin
钱王	qián wáng
强	qiáng
强梁	qiáng liáng
乔	qiáo
侨	qiáo
桥	qiáo
谯	qiáo
樵	qiáo
巧	qiǎo
茄	qiǎo
伽	qié
郄	qiè
秦	qín
琴	qín
禽	qín
勤	qín
钦	qīn
庆	qìng
苘	qǐng
倾	qīng
青	qīng
卿	qīng
清	qīng
邛	qióng
仇	qiú
求	qiú
裘	qiú
丘	qiū
邱	qiū
秋	qiū
瞿	qú
渠	qú
璩	qú
蘧	qú
麹	qū
曲	qū
屈	qū
麴	qū
屈突	qū tū
全	quán
权	quán
泉	quán
全黄	quán huáng
雀	què
却	què
阙	què
炔	quē
冉	rǎn
穰	ráng
让	ràng
壤驷	rǎng sì
饶	ráo
热	rè
人	rén
仁	rén
壬	rén
任	rén
仍	réng
戎	róng
荣	róng
容	róng
融	róng
柔	róu
茹	rú
汝	rǔ
如花	rú huā
阮	ruǎn
芮	ruì
锐	ruì
瑞	ruì
若干	ruò gān
萨	sà
洒	sǎ
撒	sā
赛	sài
塞	sāi
伞	sǎn
三	sān
三川	sān chuān
三乌	sān wū
桑	sāng
森	sēn
僧	sēng
沙	shā
杀	shā
单	shàn
剡	Shàn
善	shàn
鄯	shàn
陕	shǎn
闪	shǎn
苫	shān
山	shān
尚	shàng
赏	shǎng
商	shāng
上官	shàng guān
韶	sháo
少	shào
邵	shào
绍	shào
佘	shé
蛇	shé
折	shé
厍	shè
设	shè
厍狄	shè dí
佘丘	shé qiū
蛇丘	shé qiū
神	shén
慎	shèn
沈	shěn
审	shěn
申	shēn
姺	shēn
莘	shēn
申屠	shēn tú
申章	shēn zhāng
绳	shéng
圣	shèng
盛	shèng
生	shēng
声	shēng
石	shí
时	shí
实	shí
莳	shì
势	shì
士	shì
氏	shì
世	shì
示	shì
侍	shì
是	shì
释	shì
奭	shì
史	shǐ
始	shǐ
尸	shī
失	shī
师	shī
诗	shī
施	shī
蓍	shī
侍其	shì qí
士孙	shì sūn
受	shòu
寿	shòu
守	shǒu
首	shǒu
术	shù
束	shù
树	shù
暑	shǔ
疏	shū
书	shū
殳	shū
叔	shū
舒	shū
叔敖	shū áo
叔带	shū dài
叔风	shū fēng
叔服	shū fú
叔光	shū guāng
叔连	shū lián
叔梁	shū liáng
